item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
h01_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"half payment last week kar diya tha, baki thoda time lagega",promise_to_pay,baki thoda time lagega,,,,,clear
h01_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"ek min accounts wale se check karke batata hu, payment hua hai ya nahi confirm nahi hai",acknowledgement,,,,,,clear
h02_i03,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,invoice email pe hai but portal me nahi aa raha,document_request,,,,,portal upload,clear
h05_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.",pura amount ek baar me dena possible nahi hoga. few months me divide kar sakte hai?,hardship,,,,,,clear
h05_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,"sorry yaar bhul gaya tha iska 😬 small amount hai, jaldi kar deta hu",promise_to_pay,jaldi,,,,,clear
h02_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.",ek saath pura dena mushkil hai. monthly thoda thoda kar dein?,hardship,,,,,,clear
h01_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,"2 cartons damage aaye the isliye reject kiye the, revised bill abhi tak nahi mila. bhej do pls",dispute,,,,,revised bill,clear
h05_i08,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"GST filing pending hai abhi, isliye iss month payments release nahi kiye hain",process_deflection,,,,,,clear
h04_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"accounts team se confirm karna padega, main abhi check karke bolta hu",acknowledgement,,,,,,clear
h03_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,material jitna receive hua usse zyada ka bill hai. please check once,dispute,,,,,,clear
h02_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"check karta hu accounts me, mujhe exact status nahi pata abhi",acknowledgement,,,,,,clear
h03_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"50% ke aas paas pay kiya tha already, baki baad me clear karunga",payment_claim,,,,50% ke aas paas,,clear
h01_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.",pura amount ek saath possible nahi hoga. 2-3 months me split kar sakte hai kya,hardship,,,,,,clear
