# ROUND 2 — fill the 'intent' and 'confidence' columns below,
# then save this file as: LABELLED_annotator_b_round2.csv
# intent must be one of: promise_to_pay, payment_claim, dispute, document_request, process_deflection, hardship, refusal, acknowledgement, unclear  |  confidence must be 'clear' or 'ambiguous'  |  see docs/CODEBOOK.md  |  do NOT discuss items with the other annotator until both files are complete
item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
r06_i03,Someone else in your office handles this supplier and you are just replying because they messaged your number.,"bhai ye mera account nahi hai, main forward kar deta hu jisne handle kiya hai",,,,,,,
r03_i08,Someone else in your office handles this supplier and you are just replying because they messaged your number. They have been following up regularly for over a month now.,"ye supplier mera handle nahi hai actually. concerned person ko forward karta hu, woh aapse baat karenge",,,,,,,
r06_i01,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. This is the first time they have contacted you about it.","abhi customers ke kaafi payments pending hain, isliye cash flow issue chal raha hai",,,,,,,
r06_i05,You paid this bill a few days ago by bank transfer. The supplier seems not to have noticed and is asking again. The supplier has messaged you once before about this.,"payment toh already kar diya hai bank se, ek baar side pe check kar lo",,,,,,,
r07_i07,Business has been very slow for several months and you honestly do not have the cash right now. The supplier is asking for payment.,"business kaafi slow hai bhai, abhi genuinely cash nahi hai",,,,,,,
r03_i05,"Your accounts team cannot find the purchase order number for this bill, so it is stuck. The supplier is asking about payment. The bill is more than three months overdue.",PO number trace nahi ho raha hai is invoice ka. mil jaye toh payment process kar denge,,,,,,,
r02_i01,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. The bill is more than three months overdue.,"aadha payment last week kar diya tha, baki thoda time lagega",,,,,,,
r07_i05,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again. You have a long-standing relationship with this supplier.,abhi kuch urgent payments hain pehle woh clear karne hain. iska thoda time lagega,,,,,,,
r07_i01,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. You have a long-standing relationship with this supplier.","customers ka paisa atka hua hai abhi, isliye thoda cash problem chal raha hai. jaise hi aata hai clear karenge",,,,,,,
r06_i07,Diwali is coming and your office will be shut for a week. You plan to clear pending bills after reopening. The supplier is asking. They have been following up regularly for over a month now.,Diwali break ke baad office open hote hi pending payments clear karenge,,,,,,,
r05_i04,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. The bill is more than three months overdue.,email pe invoice mila tha but portal pe nahi hai. portal pe upload kar do warna accounts process nahi karega,,,,,,,
r05_i06,You have no particular reason for not paying and no clear plan for when you will. The supplier has messaged asking for an update. You have only recently started buying from them.,"abhi exact update nahi hai, dekh raha hu kab kar paunga",,,,,,,
r08_i04,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time. You have only recently started buying from them.,"GST filing pending hai abhi, uske baad payments release karenge",,,,,,,
r07_i04,The rate on the bill is higher than what was agreed in the purchase order. The supplier is chasing payment.,"invoice ka rate PO se match nahi kar raha, ek baar correct karke bhejo",,,,,,,
r11_i08,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again.,"is month kuch bade payments hain, iska payment abhi nahi kar paunga",,,,,,,
r04_i01,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again. You have only recently started buying from them.,"abhi bade payments priority pe hain, iska payment thoda baad me karenge",,,,,,,
r08_i02,Your company pays all suppliers in one batch on the 10th of each month. This bill missed the last batch. The supplier has messaged asking where the payment is.,"10th wale payment run me ye miss ho gaya tha, next batch me jayega",,,,,,,
r07_i02,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. The bill is about three weeks overdue.,mail mila tha but portal pe invoice nahi dikh raha. waha upload kar do pls,,,,,,,
r03_i03,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time.,"GST filing complete hone ka wait hai, uske baad iss month ke payments release honge",,,,,,,
r08_i03,You have been told by your manager not to release this payment but you have not been told why. The supplier is asking. You have only recently started buying from them.,manager ne abhi payment release karne se mana kiya hai. reason check karke bataunga,,,,,,,
r08_i08,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email.,email pe invoice mil gaya but portal pe nahi aa raha. waha upload karna padega,,,,,,,
r05_i02,Your bank shows the transfer went out but the supplier says it has not arrived. They are chasing you. The bill is about three weeks overdue.,hamare bank se transfer successful dikha raha hai. aap bank me ek baar check karo,,,,,,,
r02_i08,Your company pays all suppliers in one batch on the 10th of each month. This bill missed the last batch. The supplier has messaged asking where the payment is. The supplier has messaged you once before about this.,"10th ko supplier payments ka batch hota hai, ye last batch me miss ho gaya tha. next me chala jayega",,,,,,,
r01_i04,"Your accounts team cannot find the purchase order number for this bill, so it is stuck. The supplier is asking about payment. You have a long-standing relationship with this supplier.",PO number accounts ko mil nahi raha isliye bill atka hua hai. aapke paas hai toh bhej do,,,,,,,
r06_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. The supplier has messaged you once before about this.,"accounts se check karta hu, mujhe abhi yaad nahi payment hua tha ya nahi",,,,,,,
r03_i02,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. This is the first time they have contacted you about it.","GST number wrong hai bill pe, isi wajah se hold hai. corrected copy bhej do",,,,,,,
r11_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. The supplier has messaged you once before about this.,"accounts wale se confirm karta hu, payment status abhi mere paas nahi hai",,,,,,,
r06_i06,The rate on the bill is higher than what was agreed in the purchase order. The supplier is chasing payment.,"rate PO ke according nahi hai, invoice me zyada laga hua hai. isko check karo",,,,,,,
r06_i08,"Your accounts team cannot find the purchase order number for this bill, so it is stuck. The supplier is asking about payment.",PO number nahi mil raha hai isliye accounts ne rok diya hai. bhej sakte ho kya,,,,,,,
r04_i06,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. This is the first time they have contacted you about it.","customers ke payments kaafi pending hain, uski wajah se cash flow tight hai. collection aate hi clear karenge",,,,,,,
r05_i03,"You will have money after a large customer of yours pays you, which you expect sometime near the end of the month. The supplier is asking for an update.","month end tak ek customer ka payment expected hai, woh aate hi aapka payment kar denge",,,,,,,
r06_i02,You need the e-way bill and delivery challan copies to process this. You don't have them. The supplier is asking for payment. The bill is about three weeks overdue.,"documents nahi mile abhi, eway bill aur challan dono chahiye accounts ko",,,,,,,
r07_i06,Diwali is coming and your office will be shut for a week. You plan to clear pending bills after reopening. The supplier is asking. You have a long-standing relationship with this supplier.,"Diwali holidays ke baad office khulega, uske baad payment side dekh lenge",,,,,,,
r02_i07,This is a small supplier and you have bigger payments to worry about this month. You are not planning to pay them yet. They have messaged you again.,"abhi thode bade payments pending hain, iska thoda baad me karenge",,,,,,,
r04_i08,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. The supplier has messaged you once before about this.",ek saath pura amount arrange nahi hoga. monthly instalments me kar sakte hain kya,,,,,,,
r08_i06,"You will have money after a large customer of yours pays you, which you expect sometime near the end of the month. The supplier is asking for an update. You have a long-standing relationship with this supplier.","month end ke aas paas customer ka payment expected hai, uske baad aapka clear kar denge",,,,,,,
r05_i05,You paid this bill a few days ago by bank transfer. The supplier seems not to have noticed and is asking again. The bill is more than three months overdue.,"ye payment already ho gaya hai, bank transfer se kiya tha. statement check kar lena",,,,,,,
r08_i01,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have only recently started buying from them.,"ek baar accounts se check karke batata hu, mujhe status pata nahi hai",,,,,,,
r11_i07,The quality of this batch was not up to standard and your production team has complained. You have not paid. The supplier has messaged. The bill is about three weeks overdue.,"production wale batch ki quality ko leke happy nahi hain, isliye payment hold pe hai",,,,,,,
r11_i06,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. You have a long-standing relationship with this supplier.,"2 carton damage the delivery me, isliye reject kiye. revised invoice bhejo fir payment karte hain",,,,,,,
r08_i07,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. This is the first time they have contacted you about it.","customers se payments nahi aaye abhi tak, isliye supplier payments bhi delay ho gaye hain",,,,,,,
r02_i06,You paid this bill a few days ago by bank transfer. The supplier seems not to have noticed and is asking again. The supplier has messaged you once before about this.,"ye payment toh 2-3 din pehle transfer kar diya tha, ek baar check kar lo",,,,,,,
r01_i03,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.",pura ek saath dena mushkil hai abhi. thoda thoda karke 2-3 months me kar dein?,,,,,,,
r07_i08,You have been putting off this supplier for a while. They have now sent a firmer message mentioning the agreed payment terms. The bill is more than three months overdue.,"haan message dekh liya. thoda delay ho gaya hai, payment ka dekh raha hu",,,,,,,
r05_i07,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. The bill is more than three months overdue.","customer side se payments stuck hain kaafi time se, isi wajah se suppliers ko bhi delay ho raha hai",,,,,,,
r01_i07,"You will have money after a large customer of yours pays you, which you expect sometime near the end of the month. The supplier is asking for an update. You have a long-standing relationship with this supplier.","ek bada payment aana hai month end ke around, uske baad aapka clear kar denge",,,,,,,
r02_i04,"Your accounts team cannot find the purchase order number for this bill, so it is stuck. The supplier is asking about payment. The supplier has messaged you once before about this.",PO number nahi mil raha accounts ko. aap share kar sakte ho kya,,,,,,,
r01_i05,Diwali is coming and your office will be shut for a week. You plan to clear pending bills after reopening. The supplier is asking. This is the first time they have contacted you about it.,Diwali ke baad office open hote hi pending payments dekh lenge,,,,,,,
r04_i02,You have received a formal-sounding notice from this supplier mentioning legal provisions about delayed payment to small enterprises.,"notice mil gaya hai. internally check kar raha hu, concerned person se baat karke revert karta hu",,,,,,,
r01_i08,You have been putting off this supplier for a while. They have now sent a firmer message mentioning the agreed payment terms.,"haan samajh raha hu, thoda delay ho gaya. abhi arrange kar raha hu, jaldi update deta hu",,,,,,,
r03_i01,You need the e-way bill and delivery challan copies to process this. You don't have them. The supplier is asking for payment. You have a long-standing relationship with this supplier.,"challan aur eway bill forward kar dena ek baar, uske bina accounts payment nahi karega",,,,,,,
r04_i03,Business has been very slow for several months and you honestly do not have the cash right now. The supplier is asking for payment. You have a long-standing relationship with this supplier.,business kaafi slow chal raha hai aur honestly abhi cash available nahi hai. thoda time chahiye,,,,,,,
r11_i02,You have been putting off this supplier for a while. They have now sent a firmer message mentioning the agreed payment terms. The bill is about three weeks overdue.,"haan samajh gaya, thoda delay ho gaya. abhi arrange karne ka try kar raha hu",,,,,,,
r03_i04,You have no particular reason for not paying and no clear plan for when you will. The supplier has messaged asking for an update. This is the first time they have contacted you about it.,"abhi dekhta hu kya kar sakte hain, exact date nahi hai mere paas",,,,,,,
r05_i08,You need the e-way bill and delivery challan copies to process this. You don't have them. The supplier is asking for payment. You have only recently started buying from them.,"eway bill aur delivery challan bhej do please, documents ke bina payment process nahi hoga",,,,,,,
r02_i02,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. They have been following up regularly for over a month now.",invoice pe GST no galat hai isliye accounts process nahi kar raha. corrected invoice bhej do,,,,,,,
r01_i06,You have been told by your manager not to release this payment but you have not been told why. The supplier is asking. This is the first time they have contacted you about it.,"abhi manager ne payment hold karne bola hai, reason confirm nahi hai. check karke batata hu",,,,,,,
r11_i05,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. This is the first time they have contacted you about it.,oh haan ye miss ho gaya tha 😅 abhi kar deta hu,,,,,,,
r08_i05,The rate on the bill is higher than what was agreed in the purchase order. The supplier is chasing payment.,"bill ka rate PO wale rate se zyada hai, please check once",,,,,,,
