# intent must be one of: promise_to_pay, payment_claim, dispute, document_request, process_deflection, hardship, refusal, acknowledgement, unclear  |  confidence must be 'clear' or 'ambiguous'  |  see docs/CODEBOOK.md  |  do NOT discuss items with the other annotator until both files are complete
item_id,scenario,reply,intent,promised_date_raw,promised_date_resolved,disputed_amount,claimed_utr,documents_requested,confidence
w04_i01,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. This is the first time they have contacted you about it.,I'm not sure if this has already been paid. I'll check with accounts and confirm the status with you.,,,,,,,
w07_i07,"The goods receipt note has not been entered by your stores team yet, so the bill cannot move forward. The supplier is following up. The bill is more than three months overdue.",The invoice is still waiting on the goods receipt entry from our stores team. That's why accounts hasn't been able to move it forward. I'm checking with stores and will push this along.,,,,,,,
w07_i03,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,I'll check this with our accounts person and confirm. I don't want to give you the wrong status without verifying it first.,,,,,,,
w08_i01,The quality of this batch was not up to standard and your production team has complained. You have not paid. The supplier has messaged.,"We've received some complaints from production about the quality of this batch, so we've held the payment for now. Can we discuss the issue and figure out what needs to be done?",,,,,,,
w06_i06,"The GST number printed on the bill is wrong, so your accounts team cannot process it. The supplier is asking why payment is delayed. This is the first time they have contacted you about it.","There's an issue with the GST number on the invoice, and accounts won't be able to process it as it stands. Could you send a corrected copy?",,,,,,,
w03_i03,Your bank shows the transfer went out but the supplier says it has not arrived. They are chasing you. This is the first time they have contacted you about it.,"The transfer is showing as successful from our bank side. Could you check once with your bank? If it's still not reflecting, I'll share the transaction details with you.",,,,,,,
w01_i02,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"We paid around half of the outstanding amount last week. The remaining balance will be cleared later, so please give us a little more time.",,,,,,,
w07_i08,Business has been very slow for several months and you honestly do not have the cash right now. The supplier is asking for payment. You have a long-standing relationship with this supplier.,"It's been a tough few months for the business and we're genuinely short of cash right now. I know we've kept you waiting, and I really appreciate your patience. We'll make the payment as soon as we're able to.",,,,,,,
w08_i02,You need the e-way bill and delivery challan copies to process this. You don't have them. The supplier is asking for payment. They have been following up regularly for over a month now.,"We've been unable to process the bill because the e-way bill and delivery challan are still missing. We've been checking for them internally, but please resend the copies so we can close this.",,,,,,,
w07_i02,You have been told by your manager not to release this payment but you have not been told why. The supplier is asking.,"The payment has been put on hold internally for now. I haven't been given the full reason yet, so let me check with my manager before I give you an update.",,,,,,,
w02_i06,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. You have only recently started buying from them.,"The invoice came through email, but we need it on the vendor portal for our process. It's not showing there at the moment. Please upload it and we'll take it from there.",,,,,,,
w04_i07,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. The supplier has messaged you once before about this.,I checked the portal again and the invoice still isn't there. Email copies can't be processed directly by accounts. Please upload the bill on the portal and we'll get it moving.,,,,,,,
w08_i08,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The supplier has messaged you once before about this.,"Two cartons from the delivery were damaged and rejected, so we can't process the invoice for the full quantity. We still haven't received the corrected bill. Please send the revised one and we'll take it forward.",,,,,,,
w03_i04,Your company pays all suppliers in one batch on the 10th of each month. This bill missed the last batch. The supplier has messaged asking where the payment is. The supplier has messaged you once before about this.,"We run supplier payments together on the 10th, and unfortunately this invoice missed the last run. It will be picked up in the next batch.",,,,,,,
w04_i08,The rate on the bill is higher than what was agreed in the purchase order. The supplier is chasing payment. You have a long-standing relationship with this supplier.,I think there's been a billing mistake here. The rate on the invoice is higher than the one we agreed in the PO. Please correct it and send it back; we'll sort the payment after that.,,,,,,,
w05_i04,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up.","We're still waiting for some major customer payments, and that's put us behind on supplier payments as well. We're chasing those collections and will settle this once the funds come in.",,,,,,,
w06_i08,"Your accounts team cannot find the purchase order number for this bill, so it is stuck. The supplier is asking about payment. This is the first time they have contacted you about it.","Accounts can't find the PO number linked to this invoice, so it's currently stuck. If you have the PO number handy, please send it across and I'll get this checked.",,,,,,,
w04_i05,You received less material than what the bill says. The supplier is following up on the full amount. They have been following up regularly for over a month now.,We've been following up internally because the delivered quantity doesn't match the invoice. We can't clear the full bill until this is corrected. Please have your team check the dispatch quantity.,,,,,,,
w01_i06,You received less material than what the bill says. The supplier is following up on the full amount. The bill is about three weeks overdue.,The quantity received was less than what's mentioned on the bill. Please check the delivery details and send us a revised invoice for the actual quantity.,,,,,,,
w08_i04,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. You have only recently started buying from them.,We paid roughly half of the amount last week. The rest is still pending and we'll clear that separately. It just won't be possible to pay the entire balance together right now.,,,,,,,
w03_i01,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time. The supplier has messaged you once before about this.,"Sorry for the delay. We're still waiting for the GST filing to be completed before we release this month's payments. I know you've followed up already, and we'll update you once it's cleared.",,,,,,,
w04_i06,Business has been very slow for several months and you honestly do not have the cash right now. The supplier is asking for payment.,"To be honest, business has been very slow for us for the last few months and we don't have the cash available right now. We're trying to manage the situation and will pay once we're in a position to do so.",,,,,,,
w02_i03,The rate on the bill is higher than what was agreed in the purchase order. The supplier is chasing payment. You have only recently started buying from them.,There seems to be a mismatch in the rate. The invoice amount is higher than the rate mentioned in our PO. Please check and send a corrected bill.,,,,,,,
w02_i07,Business has been very slow for several months and you honestly do not have the cash right now. The supplier is asking for payment. You have a long-standing relationship with this supplier.,"Things have been quite slow for us these past few months and we're short on cash at the moment. I don't want to give you a false date, but we'll work towards clearing this as soon as funds improve.",,,,,,,
w06_i04,Business has been very slow for several months and you honestly do not have the cash right now. The supplier is asking for payment. You have a long-standing relationship with this supplier.,"We've had a difficult few months and cash is genuinely tight at the moment. I know the payment is pending, and I appreciate your understanding. We'll do our best to clear it as soon as the situation improves.",,,,,,,
w03_i07,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. You have a long-standing relationship with this supplier.","We're waiting on quite a few customer payments at the moment, which has put us in a difficult cash-flow position. We're trying to get those collections in and will clear your dues once we can.",,,,,,,
w01_i04,You are not sure whether this bill has been paid or not and you need to check with your accounts person. The supplier is asking. You have a long-standing relationship with this supplier.,"Let me confirm this with our accounts team first. I'm not able to see the payment status right now, but I'll check and get back to you.",,,,,,,
w01_i07,You genuinely forgot about this bill. It is a small amount and you can pay it quickly. The supplier has just messaged. The bill is about three weeks overdue.,"Sorry, this one was missed from our side. It's a small amount and we'll get the payment done shortly.",,,,,,,
w03_i05,Someone else in your office handles this supplier and you are just replying because they messaged your number. This is the first time they have contacted you about it.,"Hi, I don't handle this supplier directly. I received your message on this number though, so I'll pass it to the person who looks after your account.",,,,,,,
w06_i03,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. The bill is about three weeks overdue.",We're currently stuck because some of our customers haven't cleared their dues. That has pushed our supplier payments back as well. We're following up on the receivables and will clear this as soon as possible.,,,,,,,
w08_i07,You are waiting for your GST filing to be done before releasing payments this month. The supplier has followed up for the second time. The supplier has messaged you once before about this.,We're holding this month's supplier payments until the GST filing is completed. Sorry you've had to follow up again. I'll let you know as soon as we're able to release it.,,,,,,,
w02_i05,Your owner signs off on all payments above a certain amount and he is travelling until next week. The supplier wants to know when it will be released. They have been following up regularly for over a month now.,"This payment is pending the owner's approval, and he's travelling until next week. I know you've been following up for some time, but we'll release it once he signs off.",,,,,,,
w01_i01,Two of the cartons in the last delivery arrived crushed and you had to reject them. Nobody has sent you a corrected bill. The supplier is asking for full payment. The bill is more than three months overdue.,"We had rejected two damaged cartons from that delivery, so the invoice still needs to be corrected. Please send the revised bill and we'll take care of the payment.",,,,,,,
w01_i05,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have a long-standing relationship with this supplier.","We won't be able to manage the whole amount at once. If you're okay with it, we'd like to clear it in instalments over the next few months.",,,,,,,
w07_i06,You paid this bill a few days ago by bank transfer. The supplier seems not to have noticed and is asking again. You have only recently started buying from them.,"Just to confirm, this invoice was paid by bank transfer a few days ago. Please check your statement once. I can forward the payment confirmation if required.",,,,,,,
w04_i04,"Your own customers owe you a lot of money and have not paid, so you cannot pay your suppliers either. The supplier is following up. This is the first time they have contacted you about it.","A few of our customers have delayed their payments, and it's affected our cash flow this month. We're working through it and will make the supplier payment as soon as we're able to.",,,,,,,
w07_i05,Your company pays all suppliers in one batch on the 10th of each month. This bill missed the last batch. The supplier has messaged asking where the payment is. They have been following up regularly for over a month now.,"Sorry for the repeated delay. Our supplier payments are processed together on the 10th, and this invoice missed the previous run. It should be included in the upcoming cycle.",,,,,,,
w03_i06,You received less material than what the bill says. The supplier is following up on the full amount. This is the first time they have contacted you about it.,We received less material than the quantity billed. Could you please recheck the dispatch and invoice and send the corrected amount?,,,,,,,
w08_i05,Your company requires all supplier bills to be uploaded to a vendor portal. This one is not showing up there. The supplier says they sent it by email. You have only recently started buying from them.,"I got the invoice over email, but it hasn't come through on our vendor portal. Our accounts team can only process it once it's uploaded there. Please add it to the portal.",,,,,,,
w02_i04,You paid roughly half of what is owed last week and plan to pay the rest later. The supplier is asking for the full amount. This is the first time they have contacted you about it.,"We already paid about 50% last week. We'll arrange the balance separately, so the full amount won't be cleared in one payment.",,,,,,,
w07_i04,Your bank shows the transfer went out but the supplier says it has not arrived. They are chasing you. You have a long-standing relationship with this supplier.,"The payment has gone out from our bank according to the transaction record. Please check with your bank once, and if it's still missing I'll send you the transfer reference.",,,,,,,
w06_i01,"You could manage the payment if you were allowed to split it over a few months, but not in one go. The supplier is asking for the whole amount. You have only recently started buying from them.",We won't be able to pay the entire amount at once. Would you be comfortable if we split it into a few monthly payments?,,,,,,,
w03_i02,Diwali is coming and your office will be shut for a week. You plan to clear pending bills after reopening. The supplier is asking.,Our office will be closed for the Diwali break next week. We'll pick up the pending payments as soon as we're back and get this one cleared.,,,,,,,
w02_i01,You need the e-way bill and delivery challan copies to process this. You don't have them. The supplier is asking for payment. You have only recently started buying from them.,"We don't have the e-way bill and delivery challan copies with us. Accounts needs those documents before they can process this, so please send them over.",,,,,,,
